;id;label;community
517;518;MURRIETA OQUENDO, M.E.;90.0
518;519;(...), INSUASTI;3.0
519;520;MENDOZA, A.A.;3.0
520;521;DE TROYER, N.;2.0
521;522;CARRION, P.C.M.;77.0
522;523;(...), MIALHE;1.0
523;524;ALONSO, S.S.;0.0
524;525;(...), RODRIGUEZ;1.0
525;526;(...), MORVAN;0.0
526;527;ROMERO, J.;0.0
527;528;LAURYSSEN, F.;18.0
528;529;SINGH, P.;5.0
529;530;LEMOS, G.;14.0
530;531;GONZALEZ, V.H.;25.0
531;532;DE NEVE, J.;2.0
532;533;H., ROUSSEAU;22.0
533;534;MILDENBERGER, T.K.;65.0
534;535;PAILLACHO, D.;55.0
535;536;SALAS, D.A.;5.0
536;537;PUGA, H.J.;12.0
537;538;ORIHUELA, B.;73.0
538;539;D., NAVARETTE;0.0
539;540;CORNEJO RODRIGUEZ, M.H.;1.0
540;541;DONOSO, N.;10.0
541;542;MARIN GARCIA, I.;29.0
542;543;STANISH, C.;69.0
543;544;DA CAMARGO, S.S.;0.0
544;545;(...), HOANG;2.0
545;546;D., LIU;1.0
546;547;BERMUDEZ, J.R.;13.0
547;548;TERAN, E.;16.0
548;549;D., MEJIA;8.0
549;550;OVALLE, K.;72.0
550;551;O., PERALTA;3.0
551;552;SALVACHUA, J.;7.0
552;553;DAMIANI, A.;12.0
553;554;DUMONT, J.F.;0.0
554;555;K., YOO;4.0
555;556;CASTRO, R.;14.0
556;557;CORNEJO, F.;30.0
557;558;VILLALBA, J.L.;5.0
558;559;MENDIETA, J.;0.0
559;560;DOMINGUEZ, F.;0.0
560;561;CAMPOVERDE AGUIRRE, R.;20.0
561;562;CORNEJO GRUNAUER, M.P.;4.0
562;563;(...), FALCONES;0.0
563;564;(...), GALINDO CASTRO;37.0
564;565;TAPIA ROSERO, A.;85.0
565;566;DOMINGUEZ CUESTA, M.J.;1.0
566;567;REYES OJEDIS, C.;44.0
567;568;CORNEJO FRANCO, J.F.;3.0
568;569;EVANS, H.I.;6.0
569;570;DE CASTRO GOLCALVES, A.P.;61.0
570;571;A., ARNHOLDT SCHMITT;31.0
571;572;SAVAZZI, S.;2.0
572;573;JARAMILLO JUAN, P.;49.0
573;574;BOUREZ, L.;22.0
574;575;VILELA, P.;4.0
