Source;Target;Weight
Cajo, R.;Godoy, C.;1
Cajo, R.;Romero, J.;1
Cajo, R.;Bosquez, C.;1
Cajo, R.;Huilcapi, V.;1
Godoy, C.;Romero, J.;1
Godoy, C.;Bosquez, C.;1
Godoy, C.;Huilcapi, V.;1
Romero, J.;Bosquez, C.;1
Romero, J.;Huilcapi, V.;1
Bosquez, C.;Huilcapi, V.;1
Valle, D.;Villavicencio, J.;1
Valle, D.;Muñoz, L.;1
Valle, D.;Molina, M.;1
Valle, D.;Ponguillo, R.;1
Villavicencio, J.;Muñoz, L.;1
Villavicencio, J.;Molina, M.;1
Villavicencio, J.;Ponguillo, R.;1
Muñoz, L.;Molina, M.;1
Muñoz, L.;Ponguillo, R.;1
Molina, M.;Ponguillo, R.;1
Veriñaz, H.I.;Vela, E.M.;2
Veriñaz, H.I.;Ponguillo, R.A.;2
Vela, E.M.;Ponguillo, R.A.;2
Ochoa, X.;Chiluiza, K.;9
Ochoa, X.;Granda, R.;1
Chiluiza, K.;Granda, R.;3
Chiluiza, K.;Castells, J.;5
Chiluiza, K.;Guamán, B.;4
Granda, R.;Castells, J.;2
Granda, R.;Guamán, B.;1
Villavicencio, M.;Pincay, J.;4
Villavicencio, M.;Desiderio, K.;1
Pincay, J.;Desiderio, K.;1
Pincay, J.;Quimba, S.;1
Desiderio, K.;Quimba, S.;1
Torres, J.;Ortiz, K.;1
Torres, J.;García, J.;1
Ortiz, K.;García, J.;1
Ortiz, K.;Vaca, C.;2
García, J.;Vaca, C.;1
Jiménes, K.;Pincay, J.;1
Jiménes, K.;Villavicencio, M.;1
Jiménes, K.;Jiménez, A.;1
Pincay, J.;Jiménez, A.;1
Villavicencio, M.;Jiménez, A.;1
Rosero, S.;Jimenez, A.;1
Herrera, E.V.;Vela, E.M.;1
Herrera, E.V.;Arce, V.A.;1
Herrera, E.V.;Molina, K.G.;1
Herrera, E.V.;Plaza, D.A.;1
Vela, E.M.;Arce, V.A.;1
Vela, E.M.;Molina, K.G.;1
Vela, E.M.;Plaza, D.A.;1
Arce, V.A.;Molina, K.G.;1
Arce, V.A.;Plaza, D.A.;1
Molina, K.G.;Plaza, D.A.;1
Flores, M.;Garzon, A.;1
Flores, M.;Arce, V.;1
Flores, M.;Plaza, D.;1
Garzon, A.;Arce, V.;1
Garzon, A.;Plaza, D.;1
Arce, V.;Plaza, D.;1
Coque, S.;Villavicencio, M.;1
Da Silva, B.;Braeken, A.;3
Da Silva, B.;Domínguez, F.;1
Da Silva, B.;Touhafi, A.;3
Braeken, A.;Domínguez, F.;1
Braeken, A.;Touhafi, A.;3
Domínguez, F.;Touhafi, A.;1
Echeverria, V.;Power, T.;1
Echeverria, V.;Hayes, C.;1
Martinez-Maldonado, R.;Power, T.;1
Martinez-Maldonado, R.;Hayes, C.;1
Power, T.;Hayes, C.;1
Power, T.;Shum, S.B.;1
Hayes, C.;Shum, S.B.;1
Garcia, J.C.;Avendaño, A.;1
Garcia, J.C.;Vaca, C.;1
Avendaño, A.;Vaca, C.;2
Gutiérrez, F.;Seipp, K.;1
Gutiérrez, F.;Ochoa, X.;1
Gutiérrez, F.;De Laet, T.;1
Gutiérrez, F.;Verbert, K.;1
Seipp, K.;Ochoa, X.;1
Seipp, K.;De Laet, T.;1
Seipp, K.;Verbert, K.;1
Ochoa, X.;De Laet, T.;1
Ochoa, X.;Verbert, K.;7
De Laet, T.;Verbert, K.;1
Cordova-Garcia, J.;Xie, D.;1
Cordova-Garcia, J.;Zhao, Y.;1
Cordova-Garcia, J.;Zuo, L.;1
Wang, X.;Xie, D.;1
Wang, X.;Zhao, Y.;1
Wang, X.;Zuo, L.;1
Xie, D.;Zhao, Y.;1
Xie, D.;Zuo, L.;1
Zhao, Y.;Zuo, L.;1
Rodes, V.;Cechinel, C.;1
Rodes, V.;Dos Santos, H.L.;1
