source,target,peso
16840,26508,1
5556,28150,1
13606,28150,1
10310,28150,1
16324,28150,1
5556,13606,1
5556,10310,1
5556,16324,1
10310,13606,1
13606,16324,1
10310,16324,2
5830,18176,1
18176,32955,1
18176,28044,1
18176,28609,1
5830,32955,1
5830,28044,1
5830,28609,1
28044,32955,1
28609,32955,1
28044,28609,1
13435,20956,1
13435,19525,1
13435,15664,1
13435,30349,1
19525,20956,1
15664,20956,1
20956,30349,1
15664,19525,1
19525,30349,1
15664,30349,1
4609,28121,1
4609,31470,1
4609,8241,1
4609,10468,1
28121,31470,1
8241,28121,1
10468,28121,1
8241,31470,1
10468,31470,1
8241,10468,1
23368,31784,4
23368,34298,4
23368,27580,4
31784,34298,11
27580,31784,11
27580,34298,13
20217,23811,1
23811,35016,1
4981,23811,1
12570,23811,1
20217,35016,1
4981,20217,1
12570,20217,1
4981,35016,1
12570,35016,1
4981,12570,1
18044,24163,1
18044,29181,1
11687,18044,1
18044,32606,1
24163,29181,7
11687,24163,2
24163,32606,1
11687,29181,1
29181,32606,1
11687,32606,1
14588,24974,1
14588,16503,1
6308,14588,1
11470,14588,1
6308,24974,3
11470,24974,3
6308,16503,1
11470,16503,2
6308,11470,1
25187,30318,1
23797,25187,1
8817,25187,1
25187,27736,1
23797,30318,1
8817,30318,1
27736,30318,1
8817,23797,1
23797,27736,1
